account_uuid,account_number,account_format,bank_id,reporter_bic,date_added,flag
d34923a2-4d4b-4d7e-a96d-7e83b47a99c9,GB87WFJX80607769849053,IBAN,JXVRGBB1,QPSBDEB1,2024-09-30,SUSPECTED
097ac32f-0f04-4b42-9dcc-9e88dd29c0f4,GB06TBBK29850513057489,IBAN,BKETGB7U,QPSBDEB1,2024-12-01,SUSPECTED
2838f743-eeda-4f44-a6de-04ac6336e3b2,DE59662810832564678949,IBAN,MFRVDEEC9PK,QPSBDEB1,2024-05-30,SUSPECTED
6848f458-f022-4b40-924e-3a1e35ee8983,DE57316997309461491301,IBAN,CNSSDE4N,QPSBDEB1,2024-03-22,SUSPECTED
d032df20-5b9c-4c5b-adec-ea18d8cded08,DE89251940920784484659,IBAN,LCXTDETB,QPSBDEB1,2024-11-24,SUSPECTED
bfac159c-a7ec-48f1-b28c-3e914f40fc12,GB22JOUX14785807093773,IBAN,OUXCGBQ29V9,QPSBDEB1,2024-04-30,SUSPECTED
e15cc3d0-569b-4f86-b133-030e8aee2619,GB54RKPS02309710186570,IBAN,PSAEGBPC5HD,QPSBDEB1,2024-07-29,SUSPECTED
f7ad61ff-583e-47b6-9b3f-9d6f99029742,DE41955075869922165592,IBAN,LAPLDE71KKH,QPSBDEB1,2024-08-20,SUSPECTED
a9ae3bda-3061-445a-9143-1fb18d11fe70,GB40RCGV42498557632942,IBAN,GVIFGBS7,QPSBDEB1,2024-08-02,SUSPECTED
16c8dbd8-a11e-47e7-82b3-32fd720e3f2d,GB54OQUC78516418599387,IBAN,QUCOGB8UG0R,QPSBDEB1,2024-06-22,SUSPECTED
124287c4-9e03-40ca-aedb-cc41f378533b,GB73TCBM80598593121638,IBAN,BMRAGBV6,QPSBDEB1,2024-12-28,SUSPECTED
fcf18a73-184b-4ddd-9338-3dc666662e03,GB21MSDQ81942538844287,IBAN,SDQZGB8HRLU,QPSBDEB1,2024-06-04,SUSPECTED
2e03d6fe-cd70-4dbf-9ce7-c2c8e3d34512,GB88LZFM55429727733456,IBAN,ZFMVGBUWQL5,QPSBDEB1,2024-12-11,SUSPECTED
3e225573-4e78-48c8-bb08-efbeeb795c22,GB58HJHV13282131157289,IBAN,JHVCGBNJ,QPSBDEB1,2024-12-23,SUSPECTED
e895edf9-d496-416d-a05f-0edf1fcfa0de,DE60149841499290705994,IBAN,UYJSDE7R,QPSBDEB1,2024-02-18,SUSPECTED
c8311f98-5476-4495-a1f7-5952ec026c56,GB70EKZS68739398479464,IBAN,KZSNGB92,QPSBDEB1,2024-12-24,SUSPECTED
f19607ee-16b1-4190-95ec-e23c913feec6,GB33SSCQ89870354983504,IBAN,QRTQGB3A,QPSBDEB1,2024-08-08,SUSPECTED
c9807541-40f8-4402-8fd8-c0694ec48b2f,GB85JRIZ19776684473620,IBAN,RIZCGB53019,QPSBDEB1,2024-04-29,SUSPECTED
4f851924-f4be-4723-af7e-95a025a74d20,GB82EVJA51473322705367,IBAN,VJAVGBVF,QPSBDEB1,2024-02-27,SUSPECTED
5d4fb5e2-c807-4d78-ac51-675e06be7099,DE15054611085709285641,IBAN,VZLIDEZG,QPSBDEB1,2024-01-11,SUSPECTED
07be4180-233a-45a3-a975-e4de459e7e21,DE79420237543139662315,IBAN,VEAEDEN3UTM,QPSBDEB1,2024-04-15,SUSPECTED
cbc9b2ae-152f-42a0-8055-b8271fcf6008,GB98DYCZ44333058939623,IBAN,YCZJGBSO,QPSBDEB1,2024-02-18,SUSPECTED
dcfd2e32-f25d-40da-be62-d78518a9cfa9,GB20DPUE60197003799015,IBAN,PUEMGBDH,QPSBDEB1,2024-02-07,SUSPECTED
7b46c9ce-c1a9-4388-b911-5be54c589997,GB76JXYP06950698775020,IBAN,XYPXGBBZUA0,QPSBDEB1,2024-04-25,SUSPECTED
2e9990a3-5898-497e-b9cc-97c10a90d877,GB63BXLF28716605095513,IBAN,XLFEGB74,QPSBDEB1,2024-01-17,SUSPECTED
af81a728-d95c-4a39-9143-a2f96491b626,GB06MSVJ87341331248250,IBAN,SVJQGB3NTFM,QPSBDEB1,2024-06-01,SUSPECTED
8b02356f-7937-4ef0-bc8b-075de6bfa196,DE03787819473865687273,IBAN,RPRWDEES5P7,QPSBDEB1,2024-12-16,SUSPECTED
86d704d2-f310-4e05-b62b-b111cc1e50f8,GB79ZOQS74631591035364,IBAN,QSOIGBYNGVF,QPSBDEB1,2024-11-05,SUSPECTED
4919dd56-8d2c-484a-8e6d-4283af4086ce,GB75VZRJ66112528254634,IBAN,YNNDGBEJVL9,QPSBDEB1,2024-09-22,SUSPECTED
ee842018-0f76-40e3-837a-aeccfb7d107f,GB34ABMM27663366296155,IBAN,BMMEGB21,QPSBDEB1,2024-01-06,SUSPECTED
bf13c14c-1b0e-4c45-942e-64e5e0f23635,GB70KDXZ83971866200884,IBAN,DXZRGBO5F9Z,QPSBDEB1,2024-12-07,SUSPECTED
5f15103b-ab27-4449-9f4b-5fe29cf80430,GB96TTVL07597961468068,IBAN,AOKTGB3ZFQY,QPSBDEB1,2024-08-26,SUSPECTED
34adc550-78a9-430a-b8d1-7baed6fe0d19,GB96PPGW50316991108318,IBAN,PGWLGBCPG1H,QPSBDEB1,2024-11-22,SUSPECTED
79f4d093-0b56-4fbe-a371-7c62c2c007e8,GB98YUBP70965331616327,IBAN,PXOAGBYW,QPSBDEB1,2024-10-22,SUSPECTED
54f480aa-03be-4b42-b3da-4d3a1384d59d,GB95CGAK00458933550615,IBAN,GAKBGBAQ,QPSBDEB1,2024-01-30,SUSPECTED
f4290dac-4b65-4c04-8446-750d860faf24,DE95884142644334485684,IBAN,CVUJDEJ1STM,QPSBDEB1,2024-07-22,SUSPECTED
89e1f787-0c99-40b7-bc32-121d066da298,GB11ABRP66528756129033,IBAN,BRPMGB1W,QPSBDEB1,2024-01-10,SUSPECTED
a1e17d9e-5810-42f4-83bc-2c1bf0c8a306,GB60ILUO29166760180655,IBAN,LUOEGBGYZ21,QPSBDEB1,2024-04-12,SUSPECTED
f4e14e75-4ea2-44f5-a854-3d8871dfd962,GB03ONJJ55359020348942,IBAN,NJJLGBUMXDJ,QPSBDEB1,2024-06-21,SUSPECTED
780241c2-81f4-4997-af41-ebac3931bab3,DE05368799173402301635,IBAN,NQPTDEF4,QPSBDEB1,2024-03-27,SUSPECTED
ecb0ba84-27a4-464a-b48a-56b7fe793d05,DE36728195342696913366,IBAN,EQCTDEXNQKY,QPSBDEB1,2024-06-25,SUSPECTED
2d9a057c-74a2-45d2-aa00-973404a3de5a,GB88AVOF05334766462946,IBAN,VOFBGBXM,QPSBDEB1,2024-01-08,SUSPECTED
2b23a752-af02-422e-aa0c-c3ec505c06bc,DE68526777324827513980,IBAN,VVFMDE225NI,QPSBDEB1,2024-05-01,SUSPECTED
c17e24d6-a404-42e3-ac1f-a03e0421407a,GB79AVUY64122184607898,IBAN,VUYMGBQF,QPSBDEB1,2024-01-07,SUSPECTED
31239918-bcc6-456a-9a5b-e506909fe183,DE86953626644600120686,IBAN,XGNEDEYZQR1,QPSBDEB1,2024-08-07,SUSPECTED
968de480-d9ea-4692-bd6f-68fa9ccb62ea,GB51TPSE88556857267989,IBAN,SEZZGB68WWY,QPSBDEB1,2024-08-25,SUSPECTED
f965ab67-76a8-43d5-b891-f4b35396a382,GB80KXOF71294099713961,IBAN,XOFPGBEITC5,QPSBDEB1,2024-05-06,SUSPECTED
72bcf73b-311b-4dbb-a70f-c50c2a8d077d,GB10FGOW38950981923542,IBAN,GOWGGB7U,QPSBDEB1,2024-03-05,SUSPECTED
72a5f5c7-8e5b-493d-af92-df3b616de840,GB80MVRO37480546607882,IBAN,VROWGBN2S8C,QPSBDEB1,2024-05-27,SUSPECTED
033fc84a-27ca-402b-b619-7596bf54589c,GB06XEAX37717097964445,IBAN,AXGYGB23,QPSBDEB1,2024-10-17,SUSPECTED
49f51ee8-9e1a-41f4-9f4f-31754da2de05,GB13JDTJ98722443790151,IBAN,DTJSGB85KKS,QPSBDEB1,2024-04-27,SUSPECTED
d791ee29-0b48-43a3-8783-28cb932735e0,GB25SYBJ32113342853282,IBAN,JHFCGBGP,QPSBDEB1,2024-08-11,SUSPECTED
fe04ed97-2385-4011-ad5b-aa4e53a36b9d,GB57KNEH79101495416660,IBAN,NEHOGBHCGTW,QPSBDEB1,2024-05-06,SUSPECTED
56700a06-dcb2-41f1-9ab8-da192259222e,GB25EDKD30658877835280,IBAN,DKDGGBAY,QPSBDEB1,2024-02-22,SUSPECTED
c6d52d65-e836-4e5f-ad4e-0b626194f80d,GB52MFYO20509836695694,IBAN,FYOYGBICVC7,QPSBDEB1,2024-05-28,SUSPECTED
520dd5ce-ce81-4b24-b4cf-8b8533a19c01,GB48GWZK27366191188021,IBAN,WZKWGBL3,QPSBDEB1,2024-03-19,SUSPECTED
b9a21217-e06d-4af5-bb62-a5d9a3b81c27,GB36UXJO17892490440451,IBAN,OXCPGB9IQCR,QPSBDEB1,2024-09-05,SUSPECTED
976c0dae-f32a-40bf-bf14-bf9aabde6bf2,GB25VPSB77850739308285,IBAN,SBPOGB6UC5N,QPSBDEB1,2024-09-17,SUSPECTED
77a10088-92d9-42a3-9efb-4b63b6f28805,DE78970243613748765027,IBAN,BFUIDEN1EO2,QPSBDEB1,2024-10-04,SUSPECTED
851a987c-eaa7-4d76-978b-f3233772f70b,GB71GKQP13349013518450,IBAN,KQPDGBMO,QPSBDEB1,2024-03-25,SUSPECTED
3bd8407e-c30a-4d1e-b012-89eb1b0fc20e,GB58DWYH44703618464174,IBAN,WYHIGBR2,QPSBDEB1,2024-02-11,SUSPECTED
74f50109-68ae-4c54-a946-874f35153715,DE74367877531867410715,IBAN,NORODE3W,QPSBDEB1,2024-03-21,SUSPECTED
d44c00c0-7e7a-4169-b093-b1ead28ec954,GB31POCQ71410549369546,IBAN,OCQUGB2HSFD,QPSBDEB1,2024-11-15,SUSPECTED
156afdc0-aaf7-4e7c-a22f-36832363de66,GB04EEVC18589498973928,IBAN,EVCCGB8W,QPSBDEB1,2024-02-23,SUSPECTED
09085e9d-71ed-4ee0-b281-6e163ea7f9ec,GB17HOOB54956397376708,IBAN,OOBLGBSU,QPSBDEB1,2024-04-05,SUSPECTED
bbf167b3-17a1-48e5-9b35-8c24ff473e5c,GB71DCXI93926490141866,IBAN,CXIVGBMI,QPSBDEB1,2024-02-11,SUSPECTED
488a9fba-4f3e-471f-9aa5-874a0c6276a6,DE48044480615597082954,IBAN,JJIXDE7A,QPSBDEB1,2024-01-19,SUSPECTED
5fee3352-3a73-49b4-9fc4-1cb3efca05dd,DE17935113502738684639,IBAN,LYDVDEFP,QPSBDEB1,2024-12-29,SUSPECTED
c7540829-73b5-4c82-9d37-e5ac9fb4881b,DE67997194417282338051,IBAN,YUCTDERTH2I,QPSBDEB1,2024-08-30,SUSPECTED
a67b66e1-685f-4f8a-910c-11d79b13038d,GB89TKNU25209836871808,IBAN,NUEKGBLB7PY,QPSBDEB1,2024-08-23,SUSPECTED
162197ba-cc38-424b-850c-bc8ef39d302b,GB95QZCP49498734732697,IBAN,PIYSGBR9,QPSBDEB1,2024-07-20,SUSPECTED
009c9bf1-44fc-4233-b268-bd955bd5d5bc,DE41540149909019710801,IBAN,IADVDETDDG5,QPSBDEB1,2024-05-19,SUSPECTED
cadfe9a6-b181-470d-b233-60783652ea10,DE68336370502643477000,IBAN,GWZZDE0N,QPSBDEB1,2024-03-23,SUSPECTED
e7662d7e-2c73-49ca-8d26-015663655b6f,GB89MRFB48647784591423,IBAN,RFBJGB7YT44,QPSBDEB1,2024-05-30,SUSPECTED
1c5b925b-b371-4704-8930-5740d4a6d72d,GB13JWDD82305033645098,IBAN,WDDWGB9IMBU,QPSBDEB1,2024-11-18,SUSPECTED
fe341e04-fa8b-4335-8fea-052c6d546313,GB44NJFZ34464510253228,IBAN,JFZGGBRS0SV,QPSBDEB1,2024-06-14,SUSPECTED
b9f2f580-0a55-4241-8079-70d8d0185b2d,GB40QBXI44498082547979,IBAN,XIZJGBQR,QPSBDEB1,2024-11-11,SUSPECTED
c2a7af9e-ab79-4005-add1-77d2c700d84c,GB82YNVY16517286233573,IBAN,VYDMGBWE3K8,QPSBDEB1,2024-10-28,SUSPECTED
d29b8652-db47-479a-9a9e-7f65abc703cc,GB08VTHR16662263188549,IBAN,RCNNGB0K,QPSBDEB1,2024-09-17,SUSPECTED
c607ff1c-764f-49b0-864e-b6e91cd9e1d9,DE21107692429456884460,IBAN,AOYMDELS,QPSBDEB1,2024-02-13,SUSPECTED
c4f28612-6cfe-4b7b-8e32-f5cef5380623,GB34BNYT23786172309220,IBAN,NYTFGBM2,QPSBDEB1,2024-01-22,SUSPECTED
b5e35291-90e7-4962-ac0a-85ff4e000c37,DE28429354049549296335,IBAN,FSWHDEXRAQU,QPSBDEB1,2024-04-28,SUSPECTED
6b33c877-9c46-4a27-a350-df17526fba27,GB33KTNO51026066859611,IBAN,TNOLGBFDK0C,QPSBDEB1,2024-05-05,SUSPECTED
080ef99d-0443-4739-b329-8fb53eb19b07,GB56HGAB22192415805286,IBAN,GABUGBIJ,QPSBDEB1,2024-04-05,SUSPECTED
7aca15aa-170f-44d5-b85e-3a1158f62daf,DE13517052361386496217,IBAN,XCPADEVJM1E,QPSBDEB1,2024-05-14,SUSPECTED
8e4d0718-cee4-40c2-be16-12d0cbc27c73,DE97784126365551235488,IBAN,ZRICDEIYMYU,QPSBDEB1,2024-11-05,SUSPECTED
5ccd01d4-647a-4f5e-a658-868b73f091a7,DE14726531917095449178,IBAN,EMLVDEOEF5C,QPSBDEB1,2024-06-24,SUSPECTED
e1afd95c-b547-41a5-8697-9999fa697686,GB64AWHZ82062833908960,IBAN,WHZQGBIC,QPSBDEB1,2024-01-11,SUSPECTED
9f76a503-a0f6-4830-b494-26a17a0cb0f5,GB67PGUT10649618746971,IBAN,GUTCGBAZS1F,QPSBDEB1,2024-07-04,SUSPECTED
71eab109-1f8f-4ed9-b421-371698bbbde0,GB67TWDO00294927273367,IBAN,OAAFGBSK,QPSBDEB1,2024-08-19,SUSPECTED
90aedb73-baff-4899-9e69-96ce8add1e25,DE34859744665056232381,IBAN,XSPJDETZ1WB,QPSBDEB1,2024-07-29,SUSPECTED
27037520-b8c6-451d-9cda-d549f0a99050,GB47LXEQ84461842365023,IBAN,XEQQGBST0H7,QPSBDEB1,2024-05-20,SUSPECTED
18fbd645-88ee-406e-ab71-40e52342b95f,GB94ENRD30300778430847,IBAN,NRDHGBBP,QPSBDEB1,2024-02-23,SUSPECTED
755bc867-3959-4b64-9568-8e2971a43cb3,GB53OHOM79503393367830,IBAN,HOMPGBXANMM,QPSBDEB1,2024-06-21,SUSPECTED
3bafb51f-23c3-4f2d-ab1a-4f230bb47836,GB74BFEH61676395766687,IBAN,FEHNGBEY,QPSBDEB1,2024-01-18,SUSPECTED
67dafc92-67ed-4518-ad5b-5f3962992cfe,GB38MVMM45781983548888,IBAN,VMMIGBW26H7,QPSBDEB1,2024-05-29,SUSPECTED
8b0372e4-8544-4877-8257-5c7d735001f8,GB11OQQR00589473002706,IBAN,QQRBGBDV7R2,QPSBDEB1,2024-06-23,SUSPECTED
51c51f1c-9e10-42d7-8ea6-046cf446659d,GB30JTKD13407723993704,IBAN,TKDYGBEMQC5,QPSBDEB1,2024-04-29,SUSPECTED
4ed52cf1-a31a-479b-bf54-84d644bbf036,DE78441434752956969439,IBAN,UJDJDEOQ5XK,QPSBDEB1,2024-04-14,SUSPECTED
abbfcc6c-f089-4538-8d0f-ac818da8f754,GB49RZVO19469825146961,IBAN,DVTIGB17LUH,QPSBDEB1,2024-08-02,SUSPECTED
9552e796-5b00-49c3-b67c-dd9ba5dc1a8c,GB20UOLS88066471497194,IBAN,LSQQGBCZ0R4,QPSBDEB1,2024-09-08,SUSPECTED
288197ef-a003-4459-a4ce-737525660d46,GB57EMUF45447082190796,IBAN,MUFIGBUT,QPSBDEB1,2024-02-26,SUSPECTED
6f29ab30-53ce-4c72-a65d-f8101729ab20,GB85CEKN76122035593704,IBAN,EKNPGB0H,QPSBDEB1,2024-02-05,SUSPECTED
6fbb66c3-3b1c-47e8-956a-64cd91ad85b4,GB93SHNA58705821018402,IBAN,NALRGB5D,QPSBDEB1,2024-08-08,SUSPECTED
c5b04201-5c28-4e87-bd19-58eee398d5e4,GB62XLYK70659656412677,IBAN,YKOAGB0V0XZ,QPSBDEB1,2024-12-11,SUSPECTED
4b1072b9-fec9-4168-9b70-c94bd9ef4072,GB43LJHN49479836869686,IBAN,JHNIGBS27MY,QPSBDEB1,2024-11-26,SUSPECTED
03595550-646d-4402-887a-37285c550fd9,GB04LJMA90561885824642,IBAN,JMAVGBAXZG8,QPSBDEB1,2024-05-20,SUSPECTED
a9fc35af-938c-4ad2-bdae-0518edf80cf4,GB30HSVR40864893728440,IBAN,SVRIGBB8,QPSBDEB1,2024-12-27,SUSPECTED
22f2846e-8bd8-4ab8-a730-96df256c41b7,GB19EERE60300680663205,IBAN,EREZGB1B,QPSBDEB1,2024-02-26,SUSPECTED
1d1c22f3-299c-4d99-bf09-afee5956384c,GB44LHFD76623483188480,IBAN,HFDPGB10JOR,QPSBDEB1,2024-05-15,SUSPECTED
8a2924ce-dae4-44e0-9c4d-1a4a5a308936,GB78LRFI01818548640209,IBAN,RFIAGBG9G7W,QPSBDEB1,2024-05-16,SUSPECTED
3aa4d504-0463-41a0-bc01-dc347dd14c92,DE48703823914743035815,IBAN,XAHQDEKOHT4,QPSBDEB1,2024-07-09,SUSPECTED
376b38ce-d1f2-4c14-a2e8-ae3ecd012210,GB04ZUGO34109144556254,IBAN,OVHIGBED,QPSBDEB1,2024-11-06,SUSPECTED
f972d8a7-4261-41d6-9d93-68cea5033ec3,GB17UTID65172091576982,IBAN,DMWKGBG5IDG,QPSBDEB1,2024-09-07,SUSPECTED
782df9a1-957f-43b5-9734-6efda7c94da7,GB42USSP12364234356845,IBAN,YCFYGBPZQKN,QPSBDEB1,2024-09-11,SUSPECTED
d5a6c537-1976-4cde-9bff-3e161646604a,GB41CDDS94371976402938,IBAN,DDSSGBQP,QPSBDEB1,2024-02-03,SUSPECTED
e0e2fc41-8dd4-4416-ac2c-0fa52a5d4016,GB06FVRK53996698163890,IBAN,VRKLGBP1,QPSBDEB1,2024-03-05,SUSPECTED
62b77196-5a29-4abf-aa20-67744bce48a1,GB30JLMZ82234261426711,IBAN,LMZYGB9KKMR,QPSBDEB1,2024-04-25,SUSPECTED
de6f2a0a-6b1a-4451-ba52-4491ed1ce354,GB27XNYL08124222739897,IBAN,YLAQGBFJSLK,QPSBDEB1,2024-12-25,SUSPECTED
830465bd-a517-44ee-8807-bd50ddd32869,GB77JUQS69278926244687,IBAN,UQSXGB0J39I,QPSBDEB1,2024-12-02,SUSPECTED
9e6d8144-c616-45f8-b5c5-26693c043604,GB72HYTW27820842020395,IBAN,YTWEGB39,QPSBDEB1,2024-04-01,SUSPECTED
3bb1c397-26d1-4525-abc3-1bd98cb99d42,GB75RNEH87747581399966,IBAN,EHRPGB5T3V8,QPSBDEB1,2024-08-01,SUSPECTED
4a7143af-dd8e-4b3c-a20e-7836ad2f0cd9,DE63645594314421955288,IBAN,JKLSDESNGRT,QPSBDEB1,2024-09-19,SUSPECTED
6517d152-fdcb-43f5-a745-c8d5fe21ccac,GB07UMEW32870686300453,IBAN,EWZVGBOL74A,QPSBDEB1,2024-09-10,SUSPECTED
aefdfcb4-ea09-438c-b409-a299ff5c0d02,GB03WVWD48663067483440,IBAN,IQNNGBOB,QPSBDEB1,2024-09-30,SUSPECTED
1e1fe3e6-fbc1-4e23-ad52-978b8591f8e6,DE04861195112207355904,IBAN,DUDTDEWEEJL,QPSBDEB1,2024-07-21,SUSPECTED
6a8737b3-cfbe-47f1-8e75-e2664f71d40b,GB30JBZN51555321521401,IBAN,BZNKGBFUXUO,QPSBDEB1,2024-04-30,SUSPECTED
94fc12e9-6325-4ba3-b888-4bbb660366c3,GB57MPMS42781886336676,IBAN,PMSVGBTI28H,QPSBDEB1,2024-06-03,SUSPECTED
34b9a3d7-3a25-4e23-aaae-28ee69c2851d,GB19NHGA98405069909039,IBAN,HGATGB9SBVD,QPSBDEB1,2024-06-09,SUSPECTED
44937e54-4512-4cda-b759-be3509341a4d,DE71074415205657477776,IBAN,OIIDDEVL,QPSBDEB1,2024-01-14,SUSPECTED
9ef9b582-80e8-4854-9c85-ee8e08ba809c,GB70BLQT12110433930625,IBAN,LQTCGBIE,QPSBDEB1,2024-01-14,SUSPECTED
bba02a2c-a1c1-4ca3-9354-015e9b6ed7dd,GB64TCUX04553604014977,IBAN,UXBJGBWV,QPSBDEB1,2024-08-23,SUSPECTED
f66f07fb-759c-464e-b89c-7542efe67b75,GB92XOVE30693558345927,IBAN,VEVGGBB1MUW,QPSBDEB1,2024-12-29,SUSPECTED
b36f136b-8e59-4752-8eec-ba3213f95789,DE77108350808249065606,IBAN,BRWHDEWA,QPSBDEB1,2024-01-31,SUSPECTED
633b86d5-00dd-434f-a1b9-03e3cc4f34a0,GB86ZEAM55087466659525,IBAN,AMLLGBB6,QPSBDEB1,2024-11-05,SUSPECTED
ef31acd3-b72a-4697-accc-e43e0bf9e812,GB87BWYL64091563763851,IBAN,WYLMGBQA,QPSBDEB1,2024-01-19,SUSPECTED
23ad52e2-89b4-4edd-9a4b-5a1603a445f4,GB30ALRE68663109744503,IBAN,LREXGBZ9,QPSBDEB1,2024-01-06,SUSPECTED
675e466f-a2ce-4c51-b522-1d914af7a6a8,GB15JUME58070259947447,IBAN,UMEKGB8D3BL,QPSBDEB1,2024-04-23,SUSPECTED
19f27d2d-3b34-409a-95b4-d54be87e485c,GB11CHDX75959110156452,IBAN,HDXPGBWU,QPSBDEB1,2024-12-18,SUSPECTED
c9a9ba7a-424d-47fd-b435-d7b30cd3243c,GB38BIZQ59298649722883,IBAN,IZQWGBVJ,QPSBDEB1,2024-01-20,SUSPECTED
8081ac85-5520-4646-82bd-804bcb048a98,DE61858897804272535190,IBAN,QQYWDE56ATI,QPSBDEB1,2024-11-03,SUSPECTED
60da25b1-590c-483d-8ffc-ff597adfd36c,GB60PBLM58240355140458,IBAN,BLMLGB6JTBP,QPSBDEB1,2024-07-05,SUSPECTED
1dbdf2e8-3c74-435a-9f6a-8d2fc30f2075,DE45131927068394978751,IBAN,HDUSDEJ4,QPSBDEB1,2024-10-22,SUSPECTED
ce843bfd-6a1c-46d9-9cf0-eceec9b648f8,GB16ZNZN86203476990080,IBAN,ZNRMGBJBMT4,QPSBDEB1,2024-11-02,SUSPECTED
8c9fa150-4f43-465b-bbcb-1df74b8a3a15,DE89434851598035147034,IBAN,HJRLDEEW7BN,QPSBDEB1,2024-04-24,SUSPECTED
eda2a0d4-72cc-44d7-8094-dd6c1185a56d,GB35CQOT90798733266133,IBAN,QOTSGBA5,QPSBDEB1,2024-01-27,SUSPECTED
62fb65db-7815-42df-a71d-80d16eaf572a,GB48NEPM20268625276941,IBAN,EPMVGBIBJZ7,QPSBDEB1,2024-06-16,SUSPECTED
631b7ea8-df89-4691-b227-f384fb1daeb3,GB68MTBY82868287142449,IBAN,TBYVGB6I908,QPSBDEB1,2024-12-05,SUSPECTED
f5e5e6d8-96cf-4f32-b755-c0164dd604e9,GB67JOST58724514501403,IBAN,OSTKGB92IRW,QPSBDEB1,2024-04-28,SUSPECTED
2ed4c57b-5030-4714-9b7b-580d300b7512,DE08352861182535103147,IBAN,KFQZDEZG,QPSBDEB1,2024-03-13,SUSPECTED
e02413e5-a1bf-4da3-bcce-fbe6b8bde8f4,DE80320908841812329658,IBAN,UWFBDED6,QPSBDEB1,2024-10-07,SUSPECTED
45a114cf-08ae-4f05-8d87-40985e9da2c4,GB41LJBI83836073206852,IBAN,JBIRGBN6NZB,QPSBDEB1,2024-05-23,SUSPECTED
c17ebd94-88a6-4dce-9faa-cb8a81d2d815,DE50882073826176642730,IBAN,APHRDEI1,QPSBDEB1,2024-07-15,SUSPECTED
9cb2cf37-973a-4d79-acc1-3c27570b57da,GB47KNST26823507573728,IBAN,NSTFGB19KNV,QPSBDEB1,2024-05-12,SUSPECTED
bc6d27e5-5121-4f2f-8083-773a8454da90,GB50QAKX76629281449269,IBAN,KXONGBYL,QPSBDEB1,2024-07-19,SUSPECTED
