account_uuid,account_number,account_format,bank_id,date_added,critical_account,name,adress,social_security_number
755bc867-3959-4b64-9568-8e2971a43cb3,GB53OHOM79503393367830,IBAN,MRWNGBXX8ZX,2024-06-21,true,,,
3bafb51f-23c3-4f2d-ab1a-4f230bb47836,GB74BFEH61676395766687,IBAN,MRWNGBXX8ZX,2024-01-18,true,,,
67dafc92-67ed-4518-ad5b-5f3962992cfe,GB38MVMM45781983548888,IBAN,MRWNGBXX8ZX,2024-05-29,true,,,
8b0372e4-8544-4877-8257-5c7d735001f8,GB11OQQR00589473002706,IBAN,MRWNGBXX8ZX,2024-06-23,false,,,
51c51f1c-9e10-42d7-8ea6-046cf446659d,GB30JTKD13407723993704,IBAN,MRWNGBXX8ZX,2024-04-29,false,,,
95065784-7a3f-4da3-8081-b21812ce4a55,GB27CQPS00611259599451,IBAN,MRWNGBXX8ZX,2024-01-29,false,,,
4ed52cf1-a31a-479b-bf54-84d644bbf036,GB23IUJD43475295696943,IBAN,MRWNGBXX8ZX,2024-04-14,true,,,
abbfcc6c-f089-4538-8d0f-ac818da8f754,GB49RZVO19469825146961,IBAN,MRWNGBXX8ZX,2024-08-02,false,,,
9552e796-5b00-49c3-b67c-dd9ba5dc1a8c,GB20UOLS88066471497194,IBAN,MRWNGBXX8ZX,2024-09-08,false,,,
288197ef-a003-4459-a4ce-737525660d46,GB57EMUF45447082190796,IBAN,MRWNGBXX8ZX,2024-02-26,true,,,
6f29ab30-53ce-4c72-a65d-f8101729ab20,GB85CEKN76122035593704,IBAN,MRWNGBXX8ZX,2024-02-05,false,,,
6fbb66c3-3b1c-47e8-956a-64cd91ad85b4,GB93SHNA58705821018402,IBAN,MRWNGBXX8ZX,2024-08-08,false,,,
c5b04201-5c28-4e87-bd19-58eee398d5e4,GB62XLYK70659656412677,IBAN,MRWNGBXX8ZX,2024-12-11,false,,,
4b1072b9-fec9-4168-9b70-c94bd9ef4072,GB43LJHN49479836869686,IBAN,MRWNGBXX8ZX,2024-11-26,true,,,
03595550-646d-4402-887a-37285c550fd9,GB04LJMA90561885824642,IBAN,MRWNGBXX8ZX,2024-05-20,false,,,
a9fc35af-938c-4ad2-bdae-0518edf80cf4,GB30HSVR40864893728440,IBAN,MRWNGBXX8ZX,2024-12-27,true,,,
22f2846e-8bd8-4ab8-a730-96df256c41b7,GB19EERE60300680663205,IBAN,MRWNGBXX8ZX,2024-02-26,false,,,
1d1c22f3-299c-4d99-bf09-afee5956384c,GB44LHFD76623483188480,IBAN,MRWNGBXX8ZX,2024-05-15,true,,,
8a2924ce-dae4-44e0-9c4d-1a4a5a308936,GB78LRFI01818548640209,IBAN,MRWNGBXX8ZX,2024-05-16,true,,,
3aa4d504-0463-41a0-bc01-dc347dd14c92,GB41PXAH82391474303581,IBAN,MRWNGBXX8ZX,2024-07-09,false,,,
376b38ce-d1f2-4c14-a2e8-ae3ecd012210,GB04ZUGO34109144556254,IBAN,MRWNGBXX8ZX,2024-11-06,true,,,
f972d8a7-4261-41d6-9d93-68cea5033ec3,GB17UTID65172091576982,IBAN,MRWNGBXX8ZX,2024-09-07,false,,,
782df9a1-957f-43b5-9734-6efda7c94da7,GB42USSP12364234356845,IBAN,MRWNGBXX8ZX,2024-09-11,false,,,
d5a6c537-1976-4cde-9bff-3e161646604a,GB41CDDS94371976402938,IBAN,MRWNGBXX8ZX,2024-02-03,true,,,
e0e2fc41-8dd4-4416-ac2c-0fa52a5d4016,GB06FVRK53996698163890,IBAN,MRWNGBXX8ZX,2024-03-05,true,,,
62b77196-5a29-4abf-aa20-67744bce48a1,GB30JLMZ82234261426711,IBAN,MRWNGBXX8ZX,2024-04-25,false,,,
de6f2a0a-6b1a-4451-ba52-4491ed1ce354,GB27XNYL08124222739897,IBAN,MRWNGBXX8ZX,2024-12-25,false,,,
830465bd-a517-44ee-8807-bd50ddd32869,GB77JUQS69278926244687,IBAN,MRWNGBXX8ZX,2024-12-02,true,,,
9e6d8144-c616-45f8-b5c5-26693c043604,GB72HYTW27820842020395,IBAN,MRWNGBXX8ZX,2024-04-01,true,,,
3bb1c397-26d1-4525-abc3-1bd98cb99d42,GB75RNEH87747581399966,IBAN,MRWNGBXX8ZX,2024-08-01,true,,,
4a7143af-dd8e-4b3c-a20e-7836ad2f0cd9,GB08VMJK59431442195528,IBAN,MRWNGBXX8ZX,2024-09-19,false,,,
6517d152-fdcb-43f5-a745-c8d5fe21ccac,GB07UMEW32870686300453,IBAN,MRWNGBXX8ZX,2024-09-10,false,,,
aefdfcb4-ea09-438c-b409-a299ff5c0d02,GB03WVWD48663067483440,IBAN,MRWNGBXX8ZX,2024-09-30,false,,,
1e1fe3e6-fbc1-4e23-ad52-978b8591f8e6,GB40QNDU19511220735590,IBAN,MRWNGBXX8ZX,2024-07-21,true,,,
6a8737b3-cfbe-47f1-8e75-e2664f71d40b,GB30JBZN51555321521401,IBAN,MRWNGBXX8ZX,2024-04-30,false,,,
